GA,AIS,1765.633333,
1766,1765.5,1765.433333,ais
1766,1765.5,0.043691157,
1766.5,1765.5,,
1766.5,1765.5,,
1765.5,1765,,
1765,1765,,
1766,1766,,
1766,1765.5,,
1765.5,1765.5,,
1765,1765,,
1765.5,1765.5,,
1765,1765.5,,
1765,1765.5,,
1766,1765.5,,
1765,1765.5,,
1765.5,1766,,
1766,1765,,
1765,1765.5,,
1765,1765.5,,
1765,1765.5,,
1765.5,1765,,
1765,1765.5,,
1765.5,1765,,
1765.5,1765.5,,
1765.5,1765.5,,
1765.5,1765.5,,
1766.5,1765.5,,
1765.5,1765.5,,
1767,1765.5,,
1766.5,1765.5,,
